id,kanun,madde,probe,iddia,gold,kaynak_alinti,degisiklik_notu,uretim_sablonu,durum
244,YDUY,31,P1_dogrudan,"Yapı Denetimi Uygulama Yönetmeliği'ne göre bina kimlik sertifikasının bedelleri Bakanlıkça, her yıl 1 Mart tarihinden itibaren geçerli olmak üzere ilan edilir.",DOGRU,"Bina kimlik sertifikasının bedelleri Bakanlıkça, her yıl 1 Mart tarihinden itibaren geçerli olmak üzere ilan edilir.",,P1_verbatim,ONAY_BEKLIYOR
245,6331,12,P1_dogrudan,"6331 sayılı Kanun'un 12. maddesine göre durumun devam etmesi hâlinde, zorunluluk olmadıkça, gerekli donanıma sahip ve özel olarak görevlendirilenler dışındaki çalışanlardan işlerine devam etmelerini isteyemez.",DOGRU,"Durumun devam etmesi hâlinde, zorunluluk olmadıkça, gerekli donanıma sahip ve özel olarak görevlendirilenler dışındaki çalışanlardan işlerine devam etmelerini isteyemez.",,P1_madde_atifli,ONAY_BEKLIYOR
246,TBDY,2.1.2,P1_dogrudan,"TBDY 2018'in 2.1.2 numaralı bendine göre deprem Yer Hareketi Düzeyi-3 (DD-3) DD-3 Deprem Yer Hareketi, spektral büyüklüklerin 50 yılda aşılma olasılığının %50 ve buna karşı gelen tekrarlanma periyodunun 72 yıl olduğu sık deprem yer hareketini nitelemektedir.",DOGRU,"Deprem Yer Hareketi Düzeyi-3 (DD-3) DD-3 Deprem Yer Hareketi, spektral büyüklüklerin 50 yılda aşılma olasılığının %50 ve buna karşı gelen tekrarlanma periyodunun 72 yıl olduğu sık deprem yer hareketini nitelemektedir.",,P1_madde_atifli,ONAY_BEKLIYOR
247,YDUY,33,P6_guncellik,"Yapı Denetimi Uygulama Yönetmeliği'nin 33. maddesi, ilk yayımlandığı 2008 yılından bu yana hiç değiştirilmemiştir.",YANLIS,(Ek:RG-22/8/2015-29453) (Değişik:RG-11/12/2020-31331) (1) İzin belgesi alma aşamasında gerçeğe aykırı beyanda bulunması ve/veya bu Kanun uyarınca uygulanan idari yaptırımlar sonucunda Bakanlıktan aldı,değişiklik: 2022,P6_degismedi,ONAY_BEKLIYOR
248,TBDY,9.12.6,P5_capraz,TBDY 2018'in 15.7.1.2 numaralı bendine göre ankraj çubukları malzeme sinin kopma uzaması oranı %14 değerinden az olmayacaktır.,YANLIS,Ankraj çubukları malzeme sinin kopma uzaması oranı %14 değerinden az olmayacaktır.,,P5_maddeshift(9.12.6→15.7.1.2),ONAY_BEKLIYOR
249,4708,0,P3_anakronizm,4708 sayılı Yapı Denetimi Hakkında Kanun 2003 yılında kabul edilmiştir.,YANLIS,yıl: 2001,,P3_yil,ONAY_BEKLIYOR
250,YDUY,19,P1_dogrudan,"Yapı Denetimi Uygulama Yönetmeliği'ne göre ihtilaflı konuların, şikâyetlerin ve yapı denetim kuruluşlarının ve laboratuvarların faaliyetlerinin mahallinde incelenmesini ister.",DOGRU,"İhtilaflı konuların, şikâyetlerin ve yapı denetim kuruluşlarının ve laboratuvarların faaliyetlerinin mahallinde incelenmesini ister.",,P1_verbatim,ONAY_BEKLIYOR
251,YDUY,8,P1_dogrudan,"Yapı Denetimi Uygulama Yönetmeliği'nin 8. maddesine göre yapı sahibi, yapı denetimi hizmet bedeli taksitlerini zamanında ödemek ile yükümlüdür.",DOGRU,"Yapı sahibi, yapı denetimi hizmet bedeli taksitlerini zamanında ödemek ile yükümlüdür.",,P1_madde_atifli,ONAY_BEKLIYOR
252,3194,7,P5_capraz,3194 sayılı Kanun'un 31. maddesine göre halihazır haritası bulunmayan yerleşim yerlerinin halihazır haritaları belediyeler veya valiliklerce yapılır veya yaptırılır.,YANLIS,Halihazır haritası bulunmayan yerleşim yerlerinin halihazır haritaları belediyeler veya valiliklerce yapılır veya yaptırılır.,,P5_maddeshift(7→31),ONAY_BEKLIYOR
253,6331,25,P5_capraz,İSG Risk Değerlendirmesi Yönetmeliği'ne göre mahkeme itirazı öncelikle görüşür ve altı iş günü içinde karara bağlar.,YANLIS,Mahkeme itirazı öncelikle görüşür ve altı iş günü içinde karara bağlar.,,P5_lawshuffle(6331→ISGRISK),ONAY_BEKLIYOR
254,YDUY,6,P2_sayisal,"Yapı Denetimi Uygulama Yönetmeliği'ne göre maddede sayılan işlemler, ihtisas konusuna göre ilgili   (8) denetçi ve yardımcı kontrol elemanlarının denetiminde sürdürülür.",YANLIS,"Maddede sayılan işlemler, ihtisas konusuna göre ilgili   (4) denetçi ve yardımcı kontrol elemanlarının denetiminde sürdürülür.",,P2_swap(4→8),ONAY_BEKLIYOR
255,YDUY,6,P5_capraz,"Yapı Denetimi Uygulama Yönetmeliği'nin 35. maddesine göre maddede sayılan işlemler, ihtisas konusuna göre ilgili   (4) denetçi ve yardımcı kontrol elemanlarının denetiminde sürdürülür.",YANLIS,"Maddede sayılan işlemler, ihtisas konusuna göre ilgili   (4) denetçi ve yardımcı kontrol elemanlarının denetiminde sürdürülür.",,P5_maddeshift(6→35),ONAY_BEKLIYOR
256,YDUY,26,P1_dogrudan,"Yapı Denetimi Uygulama Yönetmeliği'ne göre bir sonraki yıla devreden işlerin yapı denetimi hizmet bedeli, uygulama yılının birim maliyeti ile değerlendirilir.",DOGRU,"Bir sonraki yıla devreden işlerin yapı denetimi hizmet bedeli, uygulama yılının birim maliyeti ile değerlendirilir.",,P1_verbatim,ONAY_BEKLIYOR
257,TBDY,2.1.2,P1_dogrudan,"TBDY 2018'in 2.1.2 numaralı bendine göre deprem Yer Hareketi Düzeyi-2 (DD-2) DD-2 Deprem Yer Hareketi, spektral büyüklüklerin 50 yılda aşılma olasılığının %10 ve buna karşı gelen tekrarlanma periyodunun 475 yıl olduğu seyrek deprem yer hareketini nitelemektedir.",DOGRU,"Deprem Yer Hareketi Düzeyi-2 (DD-2) DD-2 Deprem Yer Hareketi, spektral büyüklüklerin 50 yılda aşılma olasılığının %10 ve buna karşı gelen tekrarlanma periyodunun 475 yıl olduğu seyrek deprem yer hareketini nitelemektedir",,P1_madde_atifli,ONAY_BEKLIYOR
258,YDUY,5,P6_guncellik,Yapı Denetimi Uygulama Yönetmeliği'nin 5. maddesinde 2018 yılında değişiklik yapılmıştır.,DOGRU,"(1) Yapı denetim kuruluşu, Kanunun 2’nci maddesinde belirtilen görevleri, Kanun ile belirlenmiş süreler içinde, imar planına, fen, sanat ve sağlık kurallarına, standartlara, yürürlükteki mevzuata ve m",değişiklik: 2018,P6_yil,ONAY_BEKLIYOR
259,4708,0,P3_anakronizm,4708 sayılı Yapı Denetimi Hakkında Kanun 2010 yılında kabul edilmiştir.,YANLIS,yıl: 2001,,P3_yil,ONAY_BEKLIYOR
260,TBDY,0,P3_anakronizm,Türkiye Bina Deprem Yönetmeliği (TBDY 2018) 2018 yılında Resmî Gazete'de yayımlanmıştır.,DOGRU,yıl: 2018,,P3_yil_dogru,ONAY_BEKLIYOR
261,6331,14,P1_dogrudan,"6331 sayılı Kanun'un 14. maddesine göre sağlık hizmeti sunucuları kendilerine intikal eden iş kazalarını, yetkilendirilen sağlık hizmeti sunucuları ise meslek hastalığı tanısı koydukları vakaları en geç on gün içinde Sosyal Güvenlik Kurumuna bildirir.",DOGRU,"Sağlık hizmeti sunucuları kendilerine intikal eden iş kazalarını, yetkilendirilen sağlık hizmeti sunucuları ise meslek hastalığı tanısı koydukları vakaları en geç on gün içinde Sosyal Güvenlik Kurumuna bildirir.",,P1_madde_atifli,ONAY_BEKLIYOR
262,3194,39,P1_dogrudan,3194 sayılı Kanun'un 39. maddesine göre alakalının fakruhali tevsik olunursa masraf belediye veya valilikçe bütçesinden karşılanır.,DOGRU,Alakalının fakruhali tevsik olunursa masraf belediye veya valilikçe bütçesinden karşılanır.,,P1_madde_atifli,ONAY_BEKLIYOR
263,TBDY,8.6.2.6,P5_capraz,TBDY 2018'in 7.7.4.2 numaralı bendine göre önüretimli beton döşeme elemanları ile birlikte yapısal kaplama betonu uygulaması zorunludur.,YANLIS,Önüretimli beton döşeme elemanları ile birlikte yapısal kaplama betonu uygulaması zorunludur.,,P5_maddeshift(8.6.2.6→7.7.4.2),ONAY_BEKLIYOR
264,ISGRISK,0,P4_uydurma,İSG Risk Değerlendirmesi Yönetmeliği'ne göre ilgililer 'Elektronik Fenni Mesuliyet Cüzdanı' belgesini her yıl yenilemek zorundadır.,YANLIS,uydurma belge şablonu,,P4_belge,ONAY_BEKLIYOR
265,YDUY,19,P6_guncellik,Yapı Denetimi Uygulama Yönetmeliği'nin 19. maddesinde 2022 yılında değişiklik yapılmıştır.,DOGRU,(Başlığı ile birlikte değişik:RG-5/2/2013-28550) (1) Merkez Yapı Denetim Komisyonu; a) Başkanın yazılı veya sözlü daveti üzerine üye tam sayısının salt çoğunluğu ile toplanır. Kararlar çoğunlukla alın,değişiklik: 2022,P6_yil,ONAY_BEKLIYOR
266,4708,0,P3_anakronizm,4708 sayılı Yapı Denetimi Hakkında Kanun 1991 yılında kabul edilmiştir.,YANLIS,yıl: 2001,,P3_yil,ONAY_BEKLIYOR
267,4708,8,P6_guncellik,4708 sayılı Kanun'un 8. maddesinde 2026 yılında değişiklik yapılmıştır.,DOGRU,"(Değişik: 4/4/2015-6645/32 md.) Yapı denetim kuruluşlarından bu Kanunda ve ilgili mevzuatta öngörülen esaslara göre denetim görevini yerine getirmedikleri tespit edilenlere, tespit edilen fiil ve hâll",değişiklik: 2026,P6_yil,ONAY_BEKLIYOR
268,TBDY,7.6.3.3,P5_capraz,"TBDY 2018'in 15.2.1.3 numaralı bendine göre uç bölgeleri dışında, perde gövdelerinin her iki yüzündeki donatı ağları, her bir metrekare perde yüzünde en az dört adet özel deprem çirozu ile karşılıklı olarak bağlanacaktır.",YANLIS,"Uç bölgeleri dışında, perde gövdelerinin her iki yüzündeki donatı ağları, her bir metrekare perde yüzünde en az dört adet özel deprem çirozu ile karşılıklı olarak bağlanacaktır.",,P5_maddeshift(7.6.3.3→15.2.1.3),ONAY_BEKLIYOR
269,YDUY,27,P5_capraz,İSG Risk Değerlendirmesi Yönetmeliği'ne göre ödeme makbuzunun bir sureti yapı sahibi tarafından ilgili idareye ve yapı denetim kuruluşuna verilir.,YANLIS,Ödeme makbuzunun bir sureti yapı sahibi tarafından ilgili idareye ve yapı denetim kuruluşuna verilir.,,P5_lawshuffle(YDUY→ISGRISK),ONAY_BEKLIYOR
270,6331,28,P5_capraz,"İSG Risk Değerlendirmesi Yönetmeliği'ne göre işveren; işyeri eklentilerinden sayılan kısımlarda, ne gibi hallerde, hangi zamanda ve hangi şartlarla alkollü içki içilebileceğini belirleme yetkisine sahiptir.",YANLIS,"İşveren; işyeri eklentilerinden sayılan kısımlarda, ne gibi hallerde, hangi zamanda ve hangi şartlarla alkollü içki içilebileceğini belirleme yetkisine sahiptir.",,P5_lawshuffle(6331→ISGRISK),ONAY_BEKLIYOR
271,3194,38,P6_guncellik,"3194 sayılı Kanun'un 38. maddesi, ilk yayımlandığı 1985 yılından bu yana hiç değiştirilmemiştir.",YANLIS,"Halihazır harita ve imar planlarının hazırlanması ve bunların uygulanmasının fenni mesuliyetini; uzmanlık, çalışma konuları ve ilgili kanunlarına göre, mühendisler, mimarlar, şehir plancıları deruhte ",değişiklik: 1989,P6_degismedi,ONAY_BEKLIYOR
272,YDUY,6,P1_dogrudan,Yapı Denetimi Uygulama Yönetmeliği'ne göre uygulama denetçisi inşaat mühendisi veya   (4) ilgili yardımcı kontrol elemanı gözetiminde beton dökümüne izin verilir.,DOGRU,Uygulama denetçisi inşaat mühendisi veya   (4) ilgili yardımcı kontrol elemanı gözetiminde beton dökümüne izin verilir.,,P1_verbatim,ONAY_BEKLIYOR
273,TBDY,7.6.1.2,P1_dogrudan,"TBDY 2018'in 7.6.1.2 numaralı bendine göre perdeler, planda uzun kenarının kalınlığına oranı en az altı olan düşey taşıyıcı sistem elemanlarıdır.",DOGRU,"Perdeler, planda uzun kenarının kalınlığına oranı en az altı olan düşey taşıyıcı sistem elemanlarıdır.",,P1_madde_atifli,ONAY_BEKLIYOR
274,TBDY,15.5.2.4,P1_dogrudan,"TBDY 2018'in 15.5.2.4 numaralı bendine göre güçlendirilmiş bölme duvarlarının etki/kapasite oranı, deprem etkisi altında hesaplanan kesme kuvve tinin kesme kuvveti dayanımına oranıdır.",DOGRU,"Güçlendirilmiş bölme duvarlarının etki/kapasite oranı, deprem etkisi altında hesaplanan kesme kuvve tinin kesme kuvveti dayanımına oranıdır.",,P1_madde_atifli,ONAY_BEKLIYOR
275,TBDY,2.2.1,P1_dogrudan,"TBDY 2018'e göre sonl uzemin modelinin dış çevresi boyunca ve ZA veya ZB olarak sınıflandırılamayan mühendislik 366 taban kayası’nda, zemin ortamından dışa doğru yayılan dalgaların içeriye yansımasını önlemek için uygun olarak seçilmiş geçirgen sınırlar kullanılacaktır.",DOGRU,"Sonl uzemin modelinin dış çevresi boyunca ve ZA veya ZB olarak sınıflandırılamayan mühendislik 366 taban kayası’nda, zemin ortamından dışa doğru yayılan dalgaların içeriye yansımasını önlemek için uygun olarak seçilmiş g",,P1_verbatim,ONAY_BEKLIYOR
276,TBDY,16.12.2.8,P5_capraz,"TBDY 2018'in 9.11.3.7 numaralı bendine göre topuğu etrafında serbestçe dönebilecek duvarlarda, dinamik kuvvetin statik kuvvet ile aynı noktada etkiyeceği varsayılabilir.",YANLIS,"Topuğu etrafında serbestçe dönebilecek duvarlarda, dinamik kuvvetin statik kuvvet ile aynı noktada etkiyeceği varsayılabilir.",,P5_maddeshift(16.12.2.8→9.11.3.7),ONAY_BEKLIYOR
277,ISGRISK,10,P1_dogrudan,İSG Risk Değerlendirmesi Yönetmeliği'ne göre planlama: Analiz edilerek etkilerinin büyüklüğüne ve önemine göre sıralı hale getirilen risklerin kontrolü amacıyla bir planlama yapılır.,DOGRU,Planlama: Analiz edilerek etkilerinin büyüklüğüne ve önemine göre sıralı hale getirilen risklerin kontrolü amacıyla bir planlama yapılır.,,P1_verbatim,ONAY_BEKLIYOR
278,TBDY,14.5,P1_dogrudan,TBDY 2018'e göre belirlenen düşey rijitlik ile hesapta göz önüne alınan düşey rijitlik arasındaki farkın deneyden elde edilen değere oranı %15’den fazla olmayacaktır.,DOGRU,Belirlenen düşey rijitlik ile hesapta göz önüne alınan düşey rijitlik arasındaki farkın deneyden elde edilen değere oranı %15’den fazla olmayacaktır.,,P1_verbatim,ONAY_BEKLIYOR
279,YDUY,24,P6_guncellik,Yapı Denetimi Uygulama Yönetmeliği'nin 24. maddesinde 2022 yılında değişiklik yapılmıştır.,DOGRU,"(1) Yapının tamamlanmadan önce başkasına devri suretiyle yapı sahibinin değişmesi hâlinde, yapı denetim kuruluşunca ek-20’de gösterilen form-18’euygun seviye tespit tutanağı tanzim edilerek, durum en ",değişiklik: 2022,P6_yil,ONAY_BEKLIYOR
280,TBDY,15.2.4.2,P5_capraz,TBDY 2018'in 9.11.1.2 numaralı bendine göre eleman Detayları: Betonarme elemanlardaki donatı miktarı ve detaylarının binanın yapıldığı tarihteki minimum donatı koşullarını sağladığı varsayılır.,YANLIS,Eleman Detayları: Betonarme elemanlardaki donatı miktarı ve detaylarının binanın yapıldığı tarihteki minimum donatı koşullarını sağladığı varsayılır.,,P5_maddeshift(15.2.4.2→9.11.1.2),ONAY_BEKLIYOR
281,YDUY,31,P2_sayisal,"Yapı Denetimi Uygulama Yönetmeliği'ne göre bina kimlik sertifikasının bedelleri Bakanlıkça, her yıl 2 Mart tarihinden itibaren geçerli olmak üzere ilan edilir.",YANLIS,"Bina kimlik sertifikasının bedelleri Bakanlıkça, her yıl 1 Mart tarihinden itibaren geçerli olmak üzere ilan edilir.",,P2_swap(1→2),ONAY_BEKLIYOR
282,YDUY,6,P1_dogrudan,"Yapı Denetimi Uygulama Yönetmeliği'ne göre maddede sayılan işlemler, ihtisas konusuna göre ilgili   (4) denetçi ve yardımcı kontrol elemanlarının denetiminde sürdürülür.",DOGRU,"Maddede sayılan işlemler, ihtisas konusuna göre ilgili   (4) denetçi ve yardımcı kontrol elemanlarının denetiminde sürdürülür.",,P1_verbatim,ONAY_BEKLIYOR
283,TBDY,12.4.2.9,P5_capraz,TBDY 2018'in 9.8.5.1 numaralı bendine göre oluşturulan sistemin yük aktardığının hesapla gösterilmesi zorunludur.,YANLIS,Oluşturulan sistemin yük aktardığının hesapla gösterilmesi zorunludur.,,P5_maddeshift(12.4.2.9→9.8.5.1),ONAY_BEKLIYOR
284,6331,0,P4_uydurma,6331 sayılı Kanun'a göre ilgililer 'Zorunlu Teknik Beyan Defteri' belgesini altı ayda bir onaylatmak zorundadır.,YANLIS,uydurma belge şablonu,,P4_belge,ONAY_BEKLIYOR
285,3194,30,P5_capraz,"6331 sayılı Kanun'a göre mal sahibinin müracaatı üzerine, yapının ruhsat ve eklerine uygun olduğu ve kullanılmasında fen bakımından mahzur görülmediğinin tespiti gerekir.",YANLIS,"Mal sahibinin müracaatı üzerine, yapının ruhsat ve eklerine uygun olduğu ve kullanılmasında fen bakımından mahzur görülmediğinin tespiti gerekir.",,P5_lawshuffle(3194→6331),ONAY_BEKLIYOR
286,3194,15,P6_guncellik,3194 sayılı Kanun'un 15. maddesinde 2019 yılında değişiklik yapılmıştır.,DOGRU,"(Değişik fıkra:4/7/2019-7181/8 md.) İmar planı bulunan alanlarda, uygulama imar planına uygun olarak öncelikle parselasyon planının yapılması esastır. (Değişik fıkra:4/7/2019-7181/8 md.) İmar planı bu",değişiklik: 2019,P6_yil,ONAY_BEKLIYOR
287,TBDY,4.3.2.2,P1_dogrudan,"TBDY 2018'e göre kompozit kolonlu sistemlerde, çelik taşıyıcı sistemler için verilen Rve Dkatsayıları kullanılacaktır.",DOGRU,"Kompozit kolonlu sistemlerde, çelik taşıyıcı sistemler için verilen Rve Dkatsayıları kullanılacaktır.",,P1_verbatim,ONAY_BEKLIYOR
288,YDUY,4,P1_dogrudan,"Yapı Denetimi Uygulama Yönetmeliği'nin 4. maddesine göre inşaatın tamamlanmasını müteakiben tanzim edilen iş bitirme tutanağı ilgili idarece incelenerek, on beş iş günü içinde onaylanır veya var ise eksikliklerinin neler olduğu belirtilerek, giderilmesinin gerektiği yazılı olarak bildirilir.",DOGRU,"İnşaatın tamamlanmasını müteakiben tanzim edilen iş bitirme tutanağı ilgili idarece incelenerek, on beş iş günü içinde onaylanır veya var ise eksikliklerinin neler olduğu belirtilerek, giderilmesinin gerektiği yazılı ola",,P1_madde_atifli,ONAY_BEKLIYOR
289,3194,0,P3_anakronizm,3194 sayılı İmar Kanunu 1975 yılında kabul edilmiştir.,YANLIS,yıl: 1985,,P3_yil,ONAY_BEKLIYOR
290,YDUY,20,P6_guncellik,Yapı Denetimi Uygulama Yönetmeliği'nin 20. maddesinde 2025 yılında değişiklik yapılmıştır.,DOGRU,"(Değişik:RG-23/12/2022-32052) (1) Kanunun uygulanmasına ilişkin olarak ortaya çıkabilecek ihtilaflar, tarafların yapı denetimi konusundaki her türlü müracaatları, öncelikle yapının bulunduğu yerdeki Ç",değişiklik: 2025,P6_yil,ONAY_BEKLIYOR
291,3194,45,P1_dogrudan,3194 sayılı Kanun'un 45. maddesine göre aLTINCI BÖLÜM 2960 Sayılı Boğaziçi Kanunu ile İlgili Hükümler,DOGRU,ALTINCI BÖLÜM 2960 Sayılı Boğaziçi Kanunu ile İlgili Hükümler,,P1_madde_atifli,ONAY_BEKLIYOR
292,3194,36,P1_dogrudan,"3194 sayılı Kanun'a göre kapıcı dairesi ve sığınak ayrılması mecburiyeti olan binalarda, bu dairelerin yönetmelikte belirtilen şart ve ölçüleri havi bulunması lazımdır.",DOGRU,"Kapıcı dairesi ve sığınak ayrılması mecburiyeti olan binalarda, bu dairelerin yönetmelikte belirtilen şart ve ölçüleri havi bulunması lazımdır.",,P1_verbatim,ONAY_BEKLIYOR
293,6331,28,P1_dogrudan,"6331 sayılı Kanun'a göre işveren; işyeri eklentilerinden sayılan kısımlarda, ne gibi hallerde, hangi zamanda ve hangi şartlarla alkollü içki içilebileceğini belirleme yetkisine sahiptir.",DOGRU,"İşveren; işyeri eklentilerinden sayılan kısımlarda, ne gibi hallerde, hangi zamanda ve hangi şartlarla alkollü içki içilebileceğini belirleme yetkisine sahiptir.",,P1_verbatim,ONAY_BEKLIYOR
294,6331,25,P1_dogrudan,"6331 sayılı Kanun'un 25. maddesine göre işveren, işin durdurulması sebebiyle işsiz kalan çalışanlara ücretlerini ödemekle veya ücretlerinde bir düşüklük olmamak üzere meslek veya durumlarına göre başka bir iş vermekle yükümlüdür.",DOGRU,"İşveren, işin durdurulması sebebiyle işsiz kalan çalışanlara ücretlerini ödemekle veya ücretlerinde bir düşüklük olmamak üzere meslek veya durumlarına göre başka bir iş vermekle yükümlüdür.",,P1_madde_atifli,ONAY_BEKLIYOR
295,TBDY,17.4.2.1,P5_capraz,TBDY 2018'in 1.4 numaralı bendine göre uzun kenar / kısa kenar oranının ara değerleri için düşey donatı oranı alt sınırının doğrusal olarak değiştiği kabul edilebilir.,YANLIS,Uzun kenar / kısa kenar oranının ara değerleri için düşey donatı oranı alt sınırının doğrusal olarak değiştiği kabul edilebilir.,,P5_maddeshift(17.4.2.1→1.4),ONAY_BEKLIYOR
296,YDUY,23,P5_capraz,Yapı Denetimi Uygulama Yönetmeliği'nin 20. maddesine göre yapı kullanma izni belgesi tanzim edildiğinde ilgili idarece kuruluşa bilgi verilir.,YANLIS,Yapı kullanma izni belgesi tanzim edildiğinde ilgili idarece kuruluşa bilgi verilir.,,P5_maddeshift(23→20),ONAY_BEKLIYOR
297,TBDY,17.4.2.2,P1_dogrudan,TBDY 2018'in 17.4.2.2 numaralı bendine göre uzun kenar / kısa kenar oranının ara de ğerleri için enine donatı oranı alt sınırının doğrusal olarak değiştiği kabul edilebilir.,DOGRU,Uzun kenar / kısa kenar oranının ara de ğerleri için enine donatı oranı alt sınırının doğrusal olarak değiştiği kabul edilebilir.,,P1_madde_atifli,ONAY_BEKLIYOR
298,TBDY,16.5.1.1,P1_dogrudan,"TBDY 2018'in 16.5.1.1 numaralı bendine göre sahaya özel zemin davranış analizleri , taban kayasında tanımlanan deprem yer hareketinin zemin tabakaları boyunca değişimini ve zemin yüzeyindeki deprem yer hareketini belirlemek üzere yapılır.",DOGRU,"Sahaya özel zemin davranış analizleri , taban kayasında tanımlanan deprem yer hareketinin zemin tabakaları boyunca değişimini ve zemin yüzeyindeki deprem yer hareketini belirlemek üzere yapılır.",,P1_madde_atifli,ONAY_BEKLIYOR
299,TBDY,11.2.12,P5_capraz,"TBDY 2018'in 1.1.3 numaralı bendine göre donatısız yığma bina, donatılı yığma bina, kuşatılmış yığma bina ve donatılı panel sistemli binaların betonarme bileşenlerinde beton sınıfı en az C25 olacaktır.",YANLIS,"Donatısız yığma bina, donatılı yığma bina, kuşatılmış yığma bina ve donatılı panel sistemli binaların betonarme bileşenlerinde beton sınıfı en az C25 olacaktır.",,P5_maddeshift(11.2.12→1.1.3),ONAY_BEKLIYOR
300,6331,8,P6_guncellik,6331 sayılı Kanun'un 8. maddesinde 2015 yılında değişiklik yapılmıştır.,DOGRU,"(1) İşyeri hekimi ve iş güvenliği uzmanlarının hak ve yetkileri, görevlerini yerine getirmeleri nede niyle kı sıtlanamaz. Bu kişiler, görevlerini mesleğin gerektirdiği etik ilkeler ve mesleki bağımsız",değişiklik: 2015,P6_yil,ONAY_BEKLIYOR
301,3194,22,P5_capraz,3194 sayılı Kanun'un 1. maddesine göre eksik veya yanlış olduğu takdirde; müracaat tarihinden itibaren onbeş gün içinde müracaatçıya ilgili bütün eksik ve yanlışları yazı ile bildirilir.,YANLIS,Eksik veya yanlış olduğu takdirde; müracaat tarihinden itibaren onbeş gün içinde müracaatçıya ilgili bütün eksik ve yanlışları yazı ile bildirilir.,,P5_maddeshift(22→1),ONAY_BEKLIYOR
302,TBDY,12.4.2.9,P1_dogrudan,TBDY 2018'e göre oluşturulan sistemin yük aktardığının hesapla gösterilmesi zorunludur.,DOGRU,Oluşturulan sistemin yük aktardığının hesapla gösterilmesi zorunludur.,,P1_verbatim,ONAY_BEKLIYOR
303,YDUY,3,P6_guncellik,Yapı Denetimi Uygulama Yönetmeliği'nin 3. maddesinde 2025 yılında değişiklik yapılmıştır.,DOGRU,"(1) Bu Yönetmelikte geçen; a) (Değişik:RG-23/12/2022-32052) Bakanlık: Çevre, Şehircilik ve İklim Değişikliği Bakanlığını, b) Denetçi mimar ve mühendis: İlgili mühendis ve mimar meslek odalarına üyeliğ",değişiklik: 2025,P6_yil,ONAY_BEKLIYOR
304,TBDY,7.2.1.4,P1_dogrudan,TBDY 2018'in 7.2.1.4 numaralı bendine göre c50’den daha yüksek bet on sınıflarının kullanıldığı durumlarda kesitlerin eğilme momenti ve eksenel yük altındaki taşıma gücü hesaplarında betonda oluşan gerilme dağılımı ve elastisite modulü TS EN 1992- 1’de verilen şekilde kullanılacaktır.,DOGRU,C50’den daha yüksek bet on sınıflarının kullanıldığı durumlarda kesitlerin eğilme momenti ve eksenel yük altındaki taşıma gücü hesaplarında betonda oluşan gerilme dağılımı ve elastisite modulü TS EN 1992- 1’de verilen şe,,P1_madde_atifli,ONAY_BEKLIYOR
305,TBDY,7.3.3.2,P5_capraz,"TBDY 2018'in 1.1 numaralı bendine göre karşı tarafta kiriş bulunmadığı durumlarda kenetlenme, gerekirse kolonun karşı yüzünde aşağıya doğru kıvrım yapılarak sağlanacaktır.",YANLIS,"Karşı tarafta kiriş bulunmadığı durumlarda kenetlenme, gerekirse kolonun karşı yüzünde aşağıya doğru kıvrım yapılarak sağlanacaktır.",,P5_maddeshift(7.3.3.2→1.1),ONAY_BEKLIYOR
306,4708,5,P5_capraz,"4708 sayılı Kanun'un 15. maddesine göre hizmet bedeli oranı, yapım süresi bir yılı aşan iş için yıllık %5 artırılır.",YANLIS,"Hizmet bedeli oranı, yapım süresi bir yılı aşan iş için yıllık %5 artırılır.",,P5_maddeshift(5→15),ONAY_BEKLIYOR
307,6331,28,P5_capraz,"6331 sayılı Kanun'un 24. maddesine göre işyerine, sarhoş veya uyuştur ucu madde almış olarak gelmek ve işyerinde alkollü içki veya uyuşturucu madde kullanmak yasaktır.",YANLIS,"İşyerine, sarhoş veya uyuştur ucu madde almış olarak gelmek ve işyerinde alkollü içki veya uyuşturucu madde kullanmak yasaktır.",,P5_maddeshift(28→24),ONAY_BEKLIYOR
308,YDUY,32,P6_guncellik,"Yapı Denetimi Uygulama Yönetmeliği'nin 32. maddesi, ilk yayımlandığı 2008 yılından bu yana hiç değiştirilmemiştir.",YANLIS,"(Ek:RG-22/8/2015-29453) (1) (Değişik ibare:RG-12/6/2025-32924) Bakanlıkça; a) Yapı denetim kuruluşlarından 385.079,10 Türk Lirası tutarında teminat alınır. b) İzin belgesi almak için müracaatta buluna",değişiklik: 2025,P6_degismedi,ONAY_BEKLIYOR
309,YDUY,19,P5_capraz,"İSG Risk Değerlendirmesi Yönetmeliği'ne göre oyların eşitliği halinde, başkanın bulunduğu taraf çoğunlukta sayılır.",YANLIS,"Oyların eşitliği halinde, başkanın bulunduğu taraf çoğunlukta sayılır.",,P5_lawshuffle(YDUY→ISGRISK),ONAY_BEKLIYOR
